"","area","location","Timepoint","date","water_temp","nest_ID","Nest_size","Live_eggs","Egg_squares","Eyed","male","length","weight","canibalism","hatched_in_box"
"177","Kristineberg","Pittleholmen","2","08.06.2022",NA,17,"s","y",1,"y","y",50,104,"n","y"
"178","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,16,"l","y",48,"y","y",50,126,"y",""
"179","Austevoll","Krabbavika","2","19.06.2022",12.9,21,"s","y",30.5,"n","y",50,98,"n",""
"180","Helligvaer","Store-kvannoya","2","10.06.2022",NA,11,"s","y",32,"n","y",50,84,"y",""
"181","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,25,"s","y",26,"n","y",50.5,104,"",""
"182","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,7,"s","y",5,"n","y",50.5,105,"y",""
"183","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,26,"l","y",44,"y","y",50.5,120,"y",""
"184","Kristineberg","Pittleholmen","2","08.06.2022",NA,6,"l","y",65,"y","y",50.5,102,"y",""
"185","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,19,"s","y",20,"n","y",50.5,92,"n",""
"186","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,16,"l","y",0,"","y",50.5,109,"","y"
"187","Hitra","Teistholmen 10","2","12.06.2022",NA,19,"s","y",30.5,"y","y",51,102,"n",""
"188","Hitra","Feoya f4-5","3","10.07.2022",12.8,6,"l","y",72,"y","y",51,97,"y",""
"189","Hitra","Feoya f4-5","3","10.07.2022",12.8,8,"l","y",89,"y","y",51,117,"n",""
"190","Hitra","Feoya f4-5","3","10.07.2022",12.8,22,"l","y",90,"y","y",51,110,"y",""
"191","Kristineberg","Blabergsholmen","3","15.07.2022",NA,29,"s","y",30,"n","y",51,97,"n",""
"192","Kristineberg","Pittleholmen","3","12.07.2022",NA,4,"l","y",2,"y","y",51,108,"n",""
"193","Kristineberg","Pittleholmen","3","12.07.2022",NA,20,"l","y",40,"y","y",51,109,"","y"
"194","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,29,"s","y",13,"n","y",51,117,"y",""
"195","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,22,"l","n",0,"","y",51,125,"",""
"196","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,24,"l","n",0,"","y",51,101,"",""
"197","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,20,"l","y",35,"y","y",51,96,"n","y"
"198","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,27,"s","y",14,"y","y",51,113,"y",""
"199","Austevoll","Lamoya","3","22.07.2022",NA,14,"l","y",53,"y","y",51,97,"n",""
"200","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,20,"l","y",10.5,"n","y",51,110,"y",""
"201","Austevoll","Krabbavika","3","21.07.2022",15.9,22,"l","y",62,"n","y",51,100,"y",""
"202","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,12,"l","y",75.5,"n","y",51,125,"y",""
"203","Austevoll","Lamoya","2","20.0.2022",13.9,17,"s","y",29.5,"y","y",51,109,"y",""
"204","Austevoll","Lamoya","2","20.0.2022",13.9,19,"s","n",0,"","y",51,110,"","y"
"205","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,15,"s","y",18,"n","y",51,92,"",""
"206","Ringstad","Finnoya","2","24.06.2022",10.3,15,"s","y",39,"y","y",51,97,"n",""
"207","Ringstad","Finnoya","3","18.07.2022",13.2,24,"l","y",12,"n","y",51,99,"y",""
"208","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,30,"l","y",50,"y","y",51.5,124,"","y"
"209","Arendal","Langrumpa","2","21.06.2022",14.5,12,"l","y",25,"y","y",52,121,"y",""
"210","Kristineberg","Pittleholmen","3","12.07.2022",NA,13,"s","y",1,"n","y",52,99,"n",""
"211","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,16,"l","y",66,"y","y",52,101,"y","y"
"212","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,23,"s","y",12,"n","y",52,110,"",""
"213","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,21,"s","y",26,"n","y",52,111,"n",""
"214","Kristineberg","Pittleholmen","2","08.06.2022",NA,4,"l","y",15,"y","y",52,108,"",""
"215","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,22,"l","n",0,"","y",52,119,"",""
"216","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,18,"l","y",40,"y","y",52,117,"y","y"
